Id,Predictions
1,5019.373046875
2,7697.4970703125
3,7621.0
4,5937.49072265625
5,6497.3408203125
6,5797.9990234375
7,7897.275390625
8,7558.28955078125
9,5134.2763671875
10,5827.517578125
11,6680.33642578125
12,7734.89794921875
13,6598.92333984375
14,7321.62939453125
15,5796.74755859375
16,4944.58154296875
17,5808.197265625
18,9409.513671875
19,11033.638671875
20,9879.5
21,7186.10205078125
22,5888.11474609375
23,6257.43212890625
24,4504.296875
25,8834.39453125
26,9302.58984375
27,8983.4140625
28,6315.423828125
29,5171.00830078125
30,5363.3544921875
31,5078.87841796875
32,10205.1474609375
33,7366.837890625
34,5528.240234375
35,5704.111328125
36,7408.87841796875
37,4615.95068359375
38,7205.73681640625
39,4753.751953125
40,6622.2841796875
41,7805.4560546875
42,7392.232421875
43,6790.24951171875
44,6191.81689453125
45,4493.47021484375
46,6646.38525390625
47,6714.4453125
48,6605.92236328125
49,6277.52294921875
50,8458.0009765625
51,6732.607421875
52,9283.7890625
53,6808.330078125
54,9381.220703125
55,5110.0224609375
56,5307.1015625
57,6564.87451171875
58,7279.7470703125
59,9072.296875
60,7489.66796875
61,5798.95068359375
62,7440.24853515625
63,6547.85107421875
64,9701.890625
65,4354.82177734375
66,13129.525390625
67,4927.037109375
68,6167.56298828125
69,8111.05078125
70,6077.75537109375
71,5874.49365234375
72,6644.7373046875
73,7489.65869140625
74,5039.53369140625
75,4969.8291015625
76,7700.88525390625
77,6905.35888671875
78,7253.4775390625
79,4065.63623046875
80,7418.9169921875
81,10401.201171875
82,6737.05859375
83,7621.0
84,6644.6318359375
85,6313.3251953125
86,7235.6162109375
87,6783.77734375
88,4330.99365234375
89,7547.20458984375
90,6302.716796875
91,7321.44091796875
92,7621.0
93,5013.46728515625
94,7328.18310546875
95,5596.53369140625
96,6565.41357421875
97,9134.2724609375
98,5104.408203125
99,5715.82177734375
100,5772.671875
101,5885.82373046875
102,5665.7294921875
103,7937.017578125
104,6634.6689453125
105,6995.7373046875
106,5548.67236328125
107,5094.0185546875
108,6450.26953125
109,8088.28173828125
110,8594.03515625
111,7543.46484375
112,8123.02294921875
113,5864.6875
114,7425.1923828125
115,5883.89208984375
116,8080.16943359375
117,8611.3671875
118,6453.99365234375
119,9709.7470703125
120,7736.18798828125
121,7924.0615234375
122,6058.78955078125
123,7437.1435546875
124,7618.57421875
125,6348.69482421875
126,4496.7373046875
127,6214.4609375
128,7720.76220703125
129,7556.05712890625
130,5418.19482421875
131,8370.05078125
132,7872.67578125
133,5877.14404296875
134,6146.77783203125
135,5649.712890625
136,7729.19921875
137,7287.66796875
138,6960.28076171875
